"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13304","userCanLoginWithValidCredentials()","","Sun Nov 09 19:31:36 UTC 2025","passed","Sun Nov 09 19:31:49 UTC 2025","","ui.LoginUserUiTest","ui.LoginUserUiTest","userCanLoginWithValidCredentials"
"","296","adminCanLoginWithValidCredentialsAndGetAuthToken()","","Sun Nov 09 19:31:22 UTC 2025","passed","Sun Nov 09 19:31:22 UTC 2025","","api.LoginUserApiTest","api.LoginUserApiTest","adminCanLoginWithValidCredentialsAndGetAuthToken"
"","2011","userCannotDepositMoney(Float, String) [1] -0.01, Deposit amount must be at least 0.01","","Sun Nov 09 19:31:28 UTC 2025","passed","Sun Nov 09 19:31:30 UTC 2025","","api.DepositMoneyApiTest","api.DepositMoneyApiTest","userCannotDepositMoney"
"","323","adminCannotCreateUserWithInvalidCredentials(String, String, String, String, String) [10] TestUser11, NoNumber!, USER, password, Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long","","Sun Nov 09 19:31:21 UTC 2025","passed","Sun Nov 09 19:31:22 UTC 2025","","api.CreateUserApiTest","api.CreateUserApiTest","adminCannotCreateUserWithInvalidCredentials"
"","20857","adminCanCreateUserWithValidCredentials()","","Sun Nov 09 19:31:33 UTC 2025","passed","Sun Nov 09 19:31:54 UTC 2025","","ui.CreateUserUiTest","ui.CreateUserUiTest","adminCanCreateUserWithValidCredentials"
"","16403","userCanTransferMoney()","","Sun Nov 09 19:31:47 UTC 2025","passed","Sun Nov 09 19:32:03 UTC 2025","","ui.TransferMoneyUiTest","ui.TransferMoneyUiTest","userCanTransferMoney"
"","233","adminCannotCreateUserWithInvalidCredentials(String, String, String, String, String) [9] TestUser10, NOLOWERCASE1!, USER, password, Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long","","Sun Nov 09 19:31:21 UTC 2025","passed","Sun Nov 09 19:31:21 UTC 2025","","api.CreateUserApiTest","api.CreateUserApiTest","adminCannotCreateUserWithInvalidCredentials"
"","1482","userCanChangeTheirNameUsingValidName(String) [2] NEW NAME","","Sun Nov 09 19:31:24 UTC 2025","passed","Sun Nov 09 19:31:26 UTC 2025","","api.UpdateCustomerNameApiTest","api.UpdateCustomerNameApiTest","userCanChangeTheirNameUsingValidName"
"","1797","userCanDepositMoney(Float) [2] 4999.0","","Sun Nov 09 19:31:25 UTC 2025","passed","Sun Nov 09 19:31:26 UTC 2025","","api.DepositMoneyApiTest","api.DepositMoneyApiTest","userCanDepositMoney"
"","303","adminCannotCreateUserWithInvalidCredentials(String, String, String, String, String) [11] TestUser12, With spaces1!, USER, password, Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long","","Sun Nov 09 19:31:22 UTC 2025","passed","Sun Nov 09 19:31:22 UTC 2025","","api.CreateUserApiTest","api.CreateUserApiTest","adminCannotCreateUserWithInvalidCredentials"
"","21379","adminCannotCreateUserWithInvalidCredentials()","","Sun Nov 09 19:31:39 UTC 2025","passed","Sun Nov 09 19:32:01 UTC 2025","","ui.CreateUserUiTest","ui.CreateUserUiTest","adminCannotCreateUserWithInvalidCredentials"
"","218","adminCannotCreateUserWithInvalidCredentials(String, String, String, String, String) [1] , TestUser2!, USER, username, Username cannot be blank","","Sun Nov 09 19:31:23 UTC 2025","passed","Sun Nov 09 19:31:23 UTC 2025","","api.CreateUserApiTest","api.CreateUserApiTest","adminCannotCreateUserWithInvalidCredentials"
"","9733","userCanTransferMoney(Float, Float, Float, Float) [1] 10.0, 50.0, 50.0, 10.0","","Sun Nov 09 19:31:37 UTC 2025","passed","Sun Nov 09 19:31:47 UTC 2025","","api.TransferMoneyApiTest","api.TransferMoneyApiTest","userCanTransferMoney"
"","236","adminCannotCreateUserWithInvalidCredentials(String, String, String, String, String) [5] TestUser6, TestUser16, SUPERADMIN, role, Role must be either 'ADMIN' or 'USER'","","Sun Nov 09 19:31:20 UTC 2025","passed","Sun Nov 09 19:31:20 UTC 2025","","api.CreateUserApiTest","api.CreateUserApiTest","adminCannotCreateUserWithInvalidCredentials"
"","4229","userCannotTransferMoney(Float, Float, Float, String) [1] 1000.0, 100.0, 200.0, Invalid transfer: insufficient funds or invalid accounts","","Sun Nov 09 19:31:22 UTC 2025","passed","Sun Nov 09 19:31:26 UTC 2025","","api.TransferMoneyApiTest","api.TransferMoneyApiTest","userCannotTransferMoney"
